Temp (C),Dew Point Temp (C),Rel Hum (%),Wind Spd (km/h),Visibility (km),Stn Press (kPa),Weather,City
-1.8,-3.9,86,4,8.0,101.24,Fog,les Escaldes
-1.8,-3.7,87,4,8.0,101.24,Fog,Andorra la Vella
-1.8,-3.4,89,7,4.0,101.26,"Freezing Drizzle,Fog",Umm al Qaywayn
-1.5,-3.2,88,6,4.0,101.27,"Freezing Drizzle,Fog",Ras al-Khaimah
-1.5,-3.3,88,7,4.8,101.23,Fog,Khawr Fakkān
-1.4,-3.3,87,9,6.4,101.27,Fog,Dubai
-1.5,-3.1,89,7,6.4,101.29,Fog,Dibba Al-Fujairah
-1.4,-3.6,85,7,8.0,101.26,Fog,Dibba Al-Hisn
-1.4,-3.6,85,9,8.0,101.23,Fog,Sharjah
-1.3,-3.1,88,15,4.0,101.2,Fog,Ar Ruways
-1.0,-2.3,91,9,1.2,101.15,Fog,Al Fujayrah
-0.5,-2.1,89,7,4.0,100.98,Fog,Al Ain
-0.2,-2.0,88,9,4.8,100.79,Fog,Ajman
0.2,-1.7,87,13,4.8,100.58,Fog,Adh Dhayd
0.8,-1.1,87,20,4.8,100.31,Fog,Abu Dhabi
1.8,-0.4,85,22,6.4,100.07,Fog,Zaranj
2.6,-0.2,82,13,12.9,99.93,Mostly Cloudy,Taloqan
3.0,0.0,81,13,16.1,99.81,Cloudy,Shīnḏanḏ
3.8,1.0,82,15,12.9,99.74,Rain,Shibirghān
3.1,1.3,88,15,12.9,99.68,Rain,Shahrak
3.2,1.3,87,19,25.0,99.5,Cloudy,Sar-e Pul
4.0,1.7,85,20,25.0,99.39,Cloudy,Sang-e Chārak
4.4,1.9,84,24,19.3,99.32,Rain Showers,Aībak
5.3,2.0,79,30,25.0,99.31,Cloudy,Rustāq
5.2,1.5,77,35,25.0,99.26,Rain Showers,Qarqīn
4.6,0.0,72,39,25.0,99.26,Cloudy,Qarāwul
3.9,-0.9,71,32,25.0,99.26,Mostly Cloudy,Pul-e Khumrī
3.7,-1.5,69,33,25.0,99.3,Mostly Cloudy,Paghmān
2.9,-2.3,69,32,25.0,99.26,Mostly Cloudy,Nahrīn
2.6,-2.3,70,32,25.0,99.21,Mostly Cloudy,Maymana
2.3,-2.6,70,26,25.0,99.18,Mostly Cloudy,Mehtar Lām
2.0,-2.9,70,33,25.0,99.14,Mostly Cloudy,Mazār-e Sharīf
1.9,-3.3,68,39,24.1,99.14,Mostly Cloudy,Lashkar Gāh
1.8,-3.7,67,44,24.1,99.14,Mostly Cloudy,Kushk
1.5,-4.1,66,43,24.1,99.18,Mostly Cloudy,Kunduz
2.2,-3.5,66,30,24.1,99.19,Mostly Cloudy,Khōst
1.7,-6.2,56,48,24.1,99.21,Mainly Clear,Khulm
1.1,-6.5,57,37,24.1,99.27,Mostly Cloudy,Khāsh
1.1,-6.8,56,33,24.1,99.33,Mostly Cloudy,Khanabad
0.0,-7.0,59,33,24.1,99.41,Mostly Cloudy,Karukh
-0.7,-8.7,55,24,24.1,99.5,Mostly Cloudy,Kandahār
-2.1,-9.5,57,22,25.0,99.66,Snow Showers,Kabul
-4.1,-11.4,57,28,25.0,99.86,Mostly Cloudy,Jalālābād
-4.8,-12.1,57,24,25.0,100.0,Mostly Cloudy,Jabal os Saraj
-5.6,-13.4,54,24,25.0,100.07,Snow Showers,Herāt
-5.8,-12.8,58,26,25.0,100.15,Snow Showers,Ghormach
-7.0,-14.7,54,20,25.0,100.26,Cloudy,Ghazni
-7.4,-14.1,59,17,19.3,100.27,Snow Showers,Gereshk
-9.0,-16.0,57,28,25.0,100.35,Snow Showers,Gardēz
-9.7,-17.2,54,20,25.0,100.43,Cloudy,Fayzabad
-10.5,-15.8,65,22,12.9,100.53,Snow Showers,Farah
-11.3,-18.7,54,33,25.0,100.61,Snow Showers,Kafir Qala
-12.6,-20.1,53,24,25.0,100.68,Cloudy,Charikar
-12.9,-19.1,60,22,25.0,100.76,Snow Showers,Barakī Barak
-13.3,-19.3,61,19,25.0,100.85,Snow Showers,Bāmyān
-14.0,-19.5,63,19,25.0,100.95,Snow,Balkh
-14.8,-21.3,58,26,24.1,101.07,Mostly Cloudy,Baghlān
-15.0,-21.9,56,19,24.1,101.2,Mostly Cloudy,Ārt Khwājah
-15.3,-22.2,56,24,24.1,101.29,Cloudy,Āsmār
-14.9,-22.2,54,22,24.1,101.33,Mostly Cloudy,Asadābād
-14.9,-22.6,52,20,24.1,101.34,Mainly Clear,Andkhōy
-15.1,-22.4,54,22,24.1,101.34,Mainly Clear,Bāzārak
-14.9,-22.9,50,22,24.1,101.38,Mainly Clear,Markaz-e Woluswalī-ye Āchīn
-14.8,-22.2,53,19,24.1,101.44,Mainly Clear,Saint John’s
-15.3,-22.9,52,22,24.1,101.51,Mainly Clear,The Valley
-15.8,-23.2,53,22,24.1,101.58,Mainly Clear,Sarandë
-16.3,-23.8,52,24,25.0,101.64,Mainly Clear,Kukës
-16.9,-24.8,50,24,25.0,101.74,Clear,Korçë
-17.3,-25.4,49,24,25.0,101.82,Mainly Clear,Gjirokastër
-17.0,-24.6,52,15,25.0,101.86,Mostly Cloudy,Elbasan
-17.1,-24.6,52,20,25.0,101.86,Mostly Cloudy,Burrel
-17.3,-24.2,55,17,25.0,101.87,Mostly Cloudy,Vlorë
-17.5,-24.2,56,13,25.0,101.88,Mostly Cloudy,Tirana
-17.9,-24.1,58,11,25.0,101.86,Mainly Clear,Shkodër
-18.1,-23.8,61,15,25.0,101.89,Mainly Clear,Patos Fshat
-18.5,-24.6,59,13,25.0,101.88,Mainly Clear,Lushnjë
-18.5,-24.6,59,13,25.0,101.82,Mainly Clear,Lezhë
-18.6,-24.0,62,9,25.0,101.77,Mainly Clear,Laç
-18.5,-24.1,61,11,25.0,101.74,Cloudy,Kuçovë
-18.2,-24.1,60,11,25.0,101.75,Cloudy,Krujë
-17.8,-24.2,57,17,24.1,101.73,Mostly Cloudy,Kavajë
-16.8,-22.5,61,9,24.1,101.68,Mostly Cloudy,Fier-Çifçi
-15.2,-20.6,63,7,24.1,101.54,Mostly Cloudy,Fier
-14.2,-21.1,56,13,24.1,101.41,Mostly Cloudy,Durrës
-13.7,-21.7,51,11,24.1,101.25,Snow,Berat
-12.4,-20.1,53,11,24.1,101.07,Cloudy,Kapan
-11.3,-19.0,53,7,19.3,100.97,Snow,Goris
-10.2,-16.3,61,11,9.7,100.89,Snow,Hats’avan
-9.4,-15.5,61,13,19.3,100.79,Snow,Artashat
-8.9,-13.2,71,9,4.8,100.76,Snow,Ararat
-8.9,-12.6,75,11,9.7,100.69,Snow,Yerevan
-8.4,-12.7,71,9,16.1,100.65,Snow,Ejmiatsin
-7.8,-12.1,71,9,16.1,100.61,Snow,Spitak
-7.6,-11.6,73,7,11.3,100.54,Snow,Sevan
-9.5,-12.7,77,6,9.7,100.5,Snow,Masis
-9.6,-12.6,79,6,9.7,100.42,Snow,Vanadzor
-8.8,-11.7,79,4,9.7,100.32,Snow,Gavarr
-7.5,-10.2,81,0,9.7,100.29,Snow,Hrazdan
-5.4,-8.3,80,9,8.0,100.28,Snow,Armavir
-5.0,-7.7,81,11,9.7,100.24,Snow,Gyumri
-4.1,-6.5,83,9,4.8,100.21,Snow,Ashtarak
-7.0,-9.5,82,4,4.0,100.19,Snow,Abovyan
-8.2,-10.7,82,6,6.4,100.26,Snow,Saurimo
-7.1,-9.7,82,9,9.7,100.31,Snow,Lucapa
-6.1,-9.1,79,11,9.7,100.39,Snow,Luau
-6.6,-10.1,76,9,24.1,100.42,Mainly Clear,Uíge
-6.0,-10.0,73,17,48.3,100.45,Mainly Clear,Soio
-5.6,-10.2,70,22,48.3,100.41,Mainly Clear,Nzeto
-4.7,-9.6,69,20,48.3,100.38,Mainly Clear,N’dalatando
-4.4,-9.7,66,26,48.3,100.4,Mainly Clear,Mbanza Congo
-5.1,-10.7,65,22,48.3,100.46,Mainly Clear,Malanje
-4.3,-12.0,55,26,48.3,100.52,Mainly Clear,Luanda
-5.0,-12.7,55,19,24.1,100.6,Mainly Clear,Caxito
-6.7,-14.1,56,11,25.0,100.65,Mainly Clear,Cabinda
-7.1,-14.4,56,11,25.0,100.71,Clear,Sumbe
-9.2,-15.4,61,7,25.0,100.8,Clear,Namibe
-9.8,-15.7,62,9,25.0,100.83,Clear,Menongue
-9.0,-14.8,63,13,25.0,100.83,Clear,Luena
-9.9,-15.7,63,7,25.0,100.85,Cloudy,Lubango
-9.4,-15.5,61,9,25.0,100.83,Cloudy,Longonjo
-9.6,-16.8,56,13,25.0,100.81,Cloudy,Lobito
-10.0,-17.3,55,17,25.0,100.81,Cloudy,Cuito
-10.5,-16.5,61,9,25.0,100.84,Cloudy,Huambo
-10.6,-16.0,64,0,9.7,100.76,Snow,Catumbela
-11.3,-16.1,68,15,3.2,100.7,Snow,Catabola
-11.8,-16.0,71,19,2.8,100.61,Snow,Camacupa
-12.0,-16.2,71,22,4.8,100.58,Snow,Caluquembe
-14.4,-16.3,85,22,2.4,100.52,Snow,Caála
-12.3,-16.2,73,24,11.3,100.51,Snow,Benguela
-12.5,-16.7,71,26,19.3,100.53,Snow,Zárate
-12.3,-16.3,72,28,16.1,100.47,Snow,Villa Ocampo
-12.0,-16.0,72,17,24.1,100.36,Snow,Villa Lugano
-11.7,-15.4,74,28,19.3,100.23,Snow,Villaguay
-11.9,-15.6,74,20,24.1,100.13,Snow,Villa Gesell
-11.2,-14.8,75,19,19.3,100.07,Snow,Tigre
-11.5,-14.4,79,19,12.9,100.06,Snow,Tandil
-11.6,-14.7,78,19,19.3,100.1,Snow,San Vicente
-11.2,-14.3,78,17,25.0,100.15,Snow,Santo Tomé
-10.5,-13.6,78,17,19.3,100.12,Cloudy,Santa Elena
-10.5,-13.4,79,15,25.0,100.13,Cloudy,San Pedro
-10.2,-13.0,80,11,25.0,100.15,Cloudy,San Luis del Palmar
-9.5,-12.5,79,9,25.0,100.13,Cloudy,San Lorenzo
-9.3,-12.2,79,11,19.3,100.16,Cloudy,San Javier
-9.0,-12.0,79,7,16.1,100.15,Cloudy,San Isidro
-8.7,-11.7,79,6,16.1,100.13,Cloudy,Saladas
-8.5,-11.4,80,0,19.3,100.11,Cloudy,Retiro
-8.1,-11.1,79,4,19.3,100.15,Cloudy,Resistencia
-7.8,-10.8,79,4,19.3,100.12,Cloudy,Reconquista
-7.5,-10.5,79,6,19.3,100.1,Cloudy,Quilmes
-6.9,-9.7,80,4,19.3,100.12,Cloudy,Puerto Rico
-6.7,-9.5,80,7,16.1,100.12,Cloudy,Puerto Iguazú
-7.0,-9.7,81,7,16.1,100.16,Cloudy,Puerto Esperanza
-6.4,-9.0,82,9,8.0,100.1,"Freezing Drizzle,Fog",Puerto Eldorado
-6.1,-8.7,82,7,9.7,100.15,"Freezing Rain,Fog",Posadas
-5.7,-8.0,84,7,8.0,100.13,Freezing Rain,Pontevedra
-5.4,-7.7,84,9,9.7,100.08,Freezing Drizzle,Pirané
-5.5,-7.8,84,13,9.7,100.05,Freezing Drizzle,Paso de los Libres
-4.8,-7.2,83,15,9.7,100.07,Freezing Rain,Oberá
-4.4,-6.9,83,6,8.0,100.09,Snow,Necochea
-3.7,-6.1,83,11,8.0,100.09,Snow,Morón
-3.6,-5.9,84,0,8.0,100.15,Snow,Monte Caseros
-3.1,-5.4,84,13,8.0,100.27,Snow,Montecarlo
-3.2,-5.3,85,6,9.7,100.33,Snow,Mercedes
-3.0,-5.0,86,6,8.0,100.41,Snow,Mercedes
-1.8,-3.7,87,4,9.7,100.48,Snow,Mar del Plata
-1.3,-3.1,88,0,6.4,100.5,Snow,Luján
-1.5,-3.0,89,4,4.0,100.54,Fog,La Plata
0.4,-1.5,87,22,9.7,100.62,Snow,La Paz
0.6,-3.2,76,32,25.0,100.72,Cloudy,Jardín América
-0.6,-4.6,74,32,25.0,100.8,Mostly Cloudy,Gualeguaychú
-1.7,-6.2,71,30,25.0,100.98,Mostly Cloudy,Gualeguay
-3.5,-8.3,69,32,25.0,101.13,Mainly Clear,Goya
-4.4,-9.2,69,22,25.0,101.21,Mainly Clear,Gobernador Ingeniero Valentín Virasoro
-5.9,-10.5,70,13,25.0,101.33,Mainly Clear,General José de San Martín
-5.8,-10.8,68,13,25.0,101.47,Cloudy,Garupá
-5.6,-10.3,69,11,25.0,101.59,Cloudy,Formosa
-5.9,-10.7,69,11,24.1,101.7,Snow,Fontana
-6.4,-11.9,65,17,24.1,101.81,Snow,Federal
-6.5,-11.6,67,17,9.7,101.89,Snow,Esquina
-7.1,-12.6,65,22,24.1,101.92,Snow,El Soberbio
-6.7,-11.9,66,15,24.1,101.9,Snow,Dolores
-6.5,-12.4,63,15,24.1,101.94,Cloudy,Curuzú Cuatiá
-6.5,-12.0,65,19,24.1,101.97,Mostly Cloudy,Corrientes
-6.6,-12.9,61,20,48.3,102.04,Mostly Cloudy,Concordia
-6.6,-13.3,59,20,24.1,102.09,Mostly Cloudy,Concepción del Uruguay
-7.2,-13.8,59,17,25.0,102.17,Mainly Clear,Colegiales
-8.1,-14.1,62,17,25.0,102.23,Mainly Clear,Chajarí
-8.0,-13.9,62,15,25.0,102.26,Mostly Cloudy,Campana
-8.3,-13.7,65,15,25.0,102.28,Mostly Cloudy,Buenos Aires
-8.3,-13.9,64,11,25.0,102.26,Mostly Cloudy,Barranqueras
-8.7,-14.0,65,7,25.0,102.22,Mostly Cloudy,Azul
